    0.26576E-02    0.96193E+04
    0.27113E-02    0.97807E+04
    0.27660E-02    0.99441E+04
    0.28219E-02    0.10110E+05
    0.28789E-02    0.10277E+05
    0.29371E-02    0.10446E+05
    0.29964E-02    0.10618E+05
    0.30569E-02    0.10791E+05
    0.31187E-02    0.10967E+05
    0.31817E-02    0.11144E+05
    0.32460E-02    0.11324E+05
    0.33115E-02    0.11505E+05
    0.33784E-02    0.11688E+05
    0.34467E-02    0.11874E+05
    0.35163E-02    0.12061E+05
    0.35874E-02    0.12250E+05
    0.36598E-02    0.12441E+05
    0.37338E-02    0.12633E+05
    0.38092E-02    0.12828E+05
    0.38861E-02    0.13024E+05
    0.39646E-02    0.13222E+05
    0.40447E-02    0.13421E+05
    0.41264E-02    0.13623E+05
    0.42098E-02    0.13826E+05
    0.42948E-02    0.14030E+05
    0.43816E-02    0.14236E+05
    0.44701E-02    0.14443E+05
    0.45604E-02    0.14652E+05
    0.46525E-02    0.14863E+05
    0.47465E-02    0.15074E+05
    0.48424E-02    0.15287E+05
    0.49402E-02    0.15501E+05
    0.50400E-02    0.15716E+05
    0.51419E-02    0.15932E+05
    0.52457E-02    0.16149E+05
    0.53517E-02    0.16367E+05
    0.54598E-02    0.16586E+05
    0.55701E-02    0.16805E+05
    0.56826E-02    0.17025E+05
    0.57974E-02    0.17246E+05
    0.59145E-02    0.17467E+05
    0.60340E-02    0.17689E+05
    0.61559E-02    0.17910E+05
    0.62803E-02    0.18132E+05
    0.64072E-02    0.18354E+05
    0.65366E-02    0.18575E+05
    0.66686E-02    0.18796E+05
    0.68033E-02    0.19017E+05
    0.69408E-02    0.19238E+05
    0.70810E-02    0.19457E+05
    0.72240E-02    0.19676E+05
    0.73700E-02    0.19894E+05
    0.75189E-02    0.20111E+05
    0.76708E-02    0.20327E+05
    0.78257E-02    0.20541E+05
    0.79838E-02    0.20754E+05
    0.81451E-02    0.20965E+05
    0.83096E-02    0.21174E+05
    0.84775E-02    0.21380E+05
    0.86488E-02    0.21585E+05
    0.88235E-02    0.21787E+05
    0.90017E-02    0.21986E+05
    0.91836E-02    0.22183E+05
    0.93691E-02    0.22376E+05
    0.95583E-02    0.22566E+05
    0.97514E-02    0.22753E+05
    0.99484E-02    0.22936E+05
    0.10149E-01    0.23115E+05
    0.10354E-01    0.23289E+05
    0.10564E-01    0.23460E+05
    0.10777E-01    0.23625E+05
    0.10995E-01    0.23786E+05
    0.11217E-01    0.23941E+05
    0.11443E-01    0.24091E+05
    0.11675E-01    0.24235E+05
    0.11910E-01    0.24373E+05
    0.12151E-01    0.24505E+05
    0.12397E-01    0.24630E+05
    0.12647E-01    0.24749E+05
    0.12902E-01    0.24861E+05
    0.13163E-01    0.24965E+05
    0.13429E-01    0.25063E+05
    0.13700E-01    0.25152E+05
    0.13977E-01    0.25233E+05
    0.14259E-01    0.25304E+05
    0.14547E-01    0.25366E+05
    0.14841E-01    0.25418E+05
    0.15141E-01    0.25461E+05
    0.15447E-01    0.25496E+05
    0.15759E-01    0.25523E+05
    0.16077E-01    0.25544E+05
    0.16402E-01    0.25558E+05
    0.16734E-01    0.25565E+05
    0.17072E-01    0.25562E+05
    0.17416E-01    0.25547E+05
    0.17768E-01    0.25519E+05
    0.18127E-01    0.25474E+05
    0.18493E-01    0.25416E+05
    0.18867E-01    0.25344E+05
    0.19248E-01    0.25261E+05
    0.19637E-01    0.25167E+05
    0.20034E-01    0.25062E+05
    0.20438E-01    0.24946E+05
    0.20851E-01    0.24817E+05
    0.21272E-01    0.24674E+05
    0.21702E-01    0.24516E+05
    0.22141E-01    0.24342E+05
    0.22588E-01    0.24154E+05
    0.23044E-01    0.23954E+05
    0.23510E-01    0.23742E+05
    0.23985E-01    0.23521E+05
    0.24469E-01    0.23290E+05
    0.24964E-01    0.23052E+05
    0.25468E-01    0.22804E+05
    0.25982E-01    0.22549E+05
    0.26507E-01    0.22285E+05
    0.27043E-01    0.22012E+05
    0.27589E-01    0.21732E+05
    0.28146E-01    0.21443E+05
    0.28715E-01    0.21146E+05
    0.29295E-01    0.20840E+05
    0.29887E-01    0.20526E+05
    0.30490E-01    0.20205E+05
    0.31106E-01    0.19879E+05
    0.31735E-01    0.19547E+05
    0.32376E-01    0.19210E+05
    0.33030E-01    0.18871E+05
    0.33697E-01    0.18530E+05
    0.34378E-01    0.18188E+05
    0.35072E-01    0.17847E+05
    0.35781E-01    0.17508E+05
    0.36504E-01    0.17172E+05
    0.37241E-01    0.16840E+05
    0.37993E-01    0.16512E+05
    0.38761E-01    0.16189E+05
    0.39544E-01    0.15872E+05
    0.40343E-01    0.15562E+05
    0.41158E-01    0.15258E+05
    0.41989E-01    0.14961E+05
    0.42838E-01    0.14671E+05
    0.43703E-01    0.14389E+05
    0.44586E-01    0.14115E+05
    0.45486E-01    0.13851E+05
    0.46405E-01    0.13598E+05
    0.47343E-01    0.13356E+05
    0.48299E-01    0.13128E+05
    0.49275E-01    0.12911E+05
    0.50270E-01    0.12706E+05
    0.51286E-01    0.12510E+05
    0.52322E-01    0.12323E+05
    0.53379E-01    0.12144E+05
    0.54457E-01    0.11972E+05
    0.55557E-01    0.11806E+05
    0.56680E-01    0.11645E+05
    0.57825E-01    0.11488E+05
    0.58993E-01    0.11334E+05
    0.60184E-01    0.11182E+05
    0.61400E-01    0.11030E+05
    0.62641E-01    0.10876E+05
    0.63906E-01    0.10721E+05
    0.65197E-01    0.10563E+05
    0.66514E-01    0.10400E+05
    0.67858E-01    0.10230E+05
    0.69229E-01    0.10051E+05
    0.70627E-01    0.98625E+04
    0.72054E-01    0.96643E+04
    0.73510E-01    0.94575E+04
    0.74994E-01    0.92425E+04
